word,contextual
Abbess,nun
Abbess,mother superior
Abbess,prelate
Abbey,"building that houses monks, nuns, or priests; church"
Abbot,prior
Abdicate,"give up a right, position, or power"
Abdomen,the stomach and area directly below in an animate being
Abdominal,concerning the stomach and the area below it
Abduction,taking away by force
Abed,resting
Abed,sleeping
Aberration,state of abnormality
Aberration,different from that expected
Abet,"assist, help in wrongdoing"
Abeyance,being inactive or suspended
Abhorrence,disgust
Abhorrent,disgusting
Abject,hopeless and downtrodden
Abjure,give up
Able-bodied,physically strong and capable
Ablution,washing
Abnegate,renounce
Abnormal,different from standard or norm
Abominable,"awful, detestable"
Abominate,detest
Abomination,"object of extreme dislike, hate"
Abomination,wrongdoing
Aboriginal,"belonging to one, existing in a place since prehistory"
Aborigines,first inhabitant
Aboveboard,candid
Aboveboard,candidly
Abrade,scrape
Abrasion,scraped area
Abrasion,scraping or wearing down by friction
Abridge,shorten
Abridgment,condensation
Abrogate,formally put an end to
Abrupt,happening suddenly and unexpectedly
Abrupt,rude or brief in manner
Abscess,swelling
Abscission,excision
Abscission,surgery
Abscond,"run away, depart secretly"
Absent-minded,out to lunch
Absolution,forgiveness
Absolve,"free from responsibility, duty"
Absorb,physically take in a liquid
Absorb,mentally take in information
Absorb,occupy complete attention
Absorption,"assimilation, incorporation"
Absorption,total attention toward something
Abstain,hold back from doing
Abstemious,restraining behavior or appetite
Abstinence,"restraint from desires, especially physical desires"
Abstruse,difficult to understand
Absurd,"ridiculous, senseless"
Abundant,"plentiful, large in number"
Abusive,exhibiting unkind behavior or words
Abut,touch or be next to something
Abyss,"something very deep, usually a feature of land"
Academic,"relating to schooling, learning"
Academic,"relating to theories, philosophy"
Academic,scholar or university/college teacher
Academician,intellectual
Academician,academia
Academician,academic
Academician,brain
Academician,highbrow
Academy,"school, especially for higher education"
Academy,society or institution interested in learning
Accede,agree or consent
Accelerate,"increase speed, timing"
Accept,receive something given physically
Accept,allow into group
Accept,"believe the goodness, realness of something"
Accept,put up with
Accept,"receive by agreeing, consenting"
Access,"admission, means of entry, approach"
Accessible,approachable; ready for use
Accession,"something that augments, adds to"
Accession,coming to power
Accession,agreement
Accessory,ornament; accompanying item; supplementary part
Accessory,person peripherally involved in illegal activity
Acclaim,expression of approval
Acclaim,give approval
Accommodate,"make room, lodging available"
Accommodate,"make, become suitable for something"
Accommodate,perform service
Accompaniment,necessary part or embellishment
Accompaniment,music that supports a theme or performer in a composition
Accompanist,singer
Accompanist,troubadour
Accompany,go or be with something
Accompany,occur with something
Accomplice,"helper, especially in committing a crime"
Accomplish,succeed in doing
Accordion,musical instrument
Accost,approach for conversation or solicitation
Account,written description of past events
Account,"record of finances, fees, or charges"
Account,basis or consideration for action
Accouter,furnish
Accumulate,gather or amass something
Accuracy,precision or correctness
Accurate,precise
Accurate,"correct, without error"
Accursed,cursed
Accusation,"charge of wrongdoing, fault"
Accusatory,accusatorial
Accuse,"place blame for wrongdoing, fault"
Accustom,get used to
Acerbity,bitterness of taste
Acerbity,"harsh speech, behavior"
Acetic,tart
Ache,sore feeling; dull pain
Ache,"feeling soreness or dull pain, often physical"
Achromatic,having no hue
acid,"bitter, sour in taste"
acid,"having acidic, corrosive properties"
acid,bitter in words or behavior
acid,"lysergic acid diethylamide, lsd"
Acidify,curdle
Acidify,sour
Acidify,turn
Acidify,ferment
Acknowledge,verbally recognize authority
Acknowledge,admit truth or reality of something
Acknowledge,verbally recognize receipt of something
Acknowledgment,act of recognizing authority or truth of something
Acknowledgment,physical symbol of recognition
Acme,pinnacle of achievement or physical object
Acoustic,sound
Acquaint,inform oneself or another about something new
Acquiesce,agree with some reluctance
Acquiescence,reluctant agreement
Acquire,obtain or receive
Acquisition,obtaining or receiving
Acquisition,"something obtained, received"
Acquit,announce removal of blame
Acquit,behave some way
Acquittal,declaration removing blame
Acquittance,observance
Acquittance,refund
Acquittance,release
Acquittance,exculpation
Acreage,land
Acrid,"bitter, sour to taste"
Acrid,nasty in behavior or words
Acrimonious,"nasty in behavior, speech"
Acrimony,"nasty behavior, speech"
Actionable,litigable
Actuality,"something that truly exists, is real"
Actuary,auditor
Actuary,bean counter
Actuary,accountant
Actuary,number cruncher
Acumen,ability to understand and reason
Acute,deeply perceptive
Acute,very important
Acute,"severe, intense"
Acute,having a sharp end or point
Adamant,unyielding
Adamant,hard like rock
Addendum,"something conjoined, added"
Addle,confuse
Adduce,affirm
Adhere,conform to or follow rules exactly
Adhere,"stick or become stuck to, either physically or mentally"
Adherence,devotion
Adherent,supporter or follower
Adhesion,holding fast
Adieu,parting remark or action
Adjacency,neighborhood
Adjacency,proximity
Adjacency,nearness
Adjacency,propinquity
Adjacency,closeness
Adjacency,nearness
Adjacency,locality
Adjacent,"next to, abutting"
Adjudge,judge
Adjunct,addition; help
Adjuration,oath
Adjuration,supplication
Adjuration,imploration
Adjuration,traversal
Adjuration,command
Adjuration,denial
Adjuration,appeal
Adjutant,assistant
Administrator,person who manages organization
Admissible,able or deserving of consideration; allowable
Admittance,permission to enter
Admonish,"warn, strongly criticize"
Admonition,caution
Admonition,scolding
Ado,fuss
Adoration,intense love
Adroit,very able or skilled
Adulterant,contaminant
Adulterate,"alter or debase, often for profit"
Adumbrate,foreshadow
Advent,beginning or arrival of something anticipated
Adverse,"unfavorable, antagonistic"
Adversity,"bad luck, situation"
Advert,refer
Advertiser,promoter
Advertiser,forerunner
Advisory,"able, authorized to recommend"
Advocacy,support for an idea or cause
Aerial,occurring in the air
Aeronaut,pilot
Aeronaut,aviator
Aeronaut,flier
Aeronautics,science of flight
Affable,friendly
Affect,"influence, affect emotionally"
Affect,"pretend, imitate"
affectation,pretended behavior to make an impression
Affiliate,organization that is associated with another
Affiliate,associate or be associated with a larger organization
Affirmative,being agreeable or assenting
Affix,attach or stick
Affluence,wealth
Affront,an insult
Affront,insult or involve in entanglement
Afire,on fire
Afoot,traveling by foot
Afoot,in progress
Aforesaid,said earlier
Afresh,new or repeated
Afterthought,idea that occurs after it is timely
Agglomerate,bunch
Aggrandize,"cause something to seem or be greater, bigger"
Aggravate,annoy
Aggravate,cause to become worse
Aggravation,annoyance
Aggravation,"worsening of a situation,"
Aggregate,forming a collection from separate parts
Aggregate,collection
Aggregate,combine into a collection
Aggress,attack
Aggression,"attack, often military"
Aggression,"hostile or forceful behavior, attitude"
Aggrieve,wrong
Aghast,horrified; very surprised
Agile,"physically or mentally nimble, deft"
Agitate,shake physically
Agitate,"disturb, trouble someone"
Agrarian,"concerning land, farming"
Aide-de-camp,right-hand person
Ailment,mild sickness
